"product","binary file","download page","download link","download name","test flags","publish date","bin file size [B]","comment"
"A3","A3_FW_V01.01.01.00.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V01.01.01.00.bin","A3_FW_V01.01.01.00.bin",3,"2016-04-28",1417866,
"A3","A3_FW_V01.01.02.00.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V01.01.02.00.bin","A3_FW_V01.01.02.00.bin",3,"2016-05-03",1418414,
"A3","A3_FW_V01.02.00.00.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V01.02.00.00.bin","A3_FW_V01.02.00.00.bin",3,"2016-06-07",2514146,
"A3","A3_FW_V01.03.00.00.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V01.03.00.00.bin","A3_FW_V01.03.00.00.bin",3,"2016-06-08",2569494,
"A3","A3_FW_V01.04.00.00.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V01.04.00.00.bin","A3_FW_V01.04.00.00.bin",3,"2016-10-11",2750770,
"A3","A3_FW_V01.05.00.00.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V01.05.00.00.bin","A3_FW_V01.05.00.00.bin",3,"2016-10-20",2751026,
"A3","A3_FW_V01.06.00.00.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V01.06.00.00.bin","A3_FW_V01.06.00.00.bin",3,"2016-10-26",3054546,
"A3","A3_FW_V01.06.00.01.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V01.06.00.01.bin","A3_FW_V01.06.00.01.bin",3,"2016-10-26",1871978,
"A3","A3_FW_V01.06.00.10.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V01.06.00.10.bin","A3_FW_V01.06.00.10.bin",3,"2017-01-05",4400390,
"A3","A3_FW_V02.00.00.01.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/A3_FW_V02.00.00.01.bin","A3_FW_V02.00.00.01.bin",3,"2016-07-08",2691178,
"AI900","A3_FW_V01.00.00.32.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3_A3_test/A3_FW_V01.00.00.32.bin","A3_FW_V01.00.00.32.bin",3,"2017-01-03",4404998,
"AI900","AI900_FW_V01.05.00.01.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3/AI900_FW_V01.05.00.01.bin","AI900_FW_V01.05.00.01.bin",3,"2016-12-22",4382726,
"AI900_AGR","AI900_AGR_FW_V01.00.00.29.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3_AGR/AI900_AGR_FW_V01.00.00.29.bin","AI900_AGR_FW_V01.00.00.29.bin",3,"2016-09-28",2805454,
"AI900_AGR","AI900_AGR_FW_V01.00.00.80.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3_AGR/AI900_AGR_FW_V01.00.00.80.bin","AI900_AGR_FW_V01.00.00.80.bin",3,"2016-11-16",4209866,
"AI900_AGR","AI900_AGR_FW_V01.00.00.81.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3_AGR/AI900_AGR_FW_V01.00.00.81.bin","AI900_AGR_FW_V01.00.00.81.bin",3,"2016-11-17",4209866,
"AI900_AGR","AI900_AGR_FW_V01.00.00.83.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/A3_AGR/AI900_AGR_FW_V01.00.00.83.bin","AI900_AGR_FW_V01.00.00.83.bin",3,"2016-11-18",4209866,
"AM603","AM603_FW_V01.00.00.43(ESC).bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.00.43(ESC).bin","AM603_FW_V01.00.00.43(ESC).bin",3,"2016-10-19",2835942,
"AM603","AM603_FW_V01.00.00.43.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.00.43.bin","AM603_FW_V01.00.00.43.bin",3,"2016-10-20",3139462,
"AM603","AM603_FW_V01.00.00.47.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.00.47.bin","AM603_FW_V01.00.00.47.bin",3,"2016-10-20",2843110,
